,time,feature_10,feature_50,feature_145,feature_211,feature_343,feature_344,feature_430,feature_654,feature_677,feature_750,feature_858,feature_861,feature_923,feature_978,feature_981,feature_1005,feature_1007,feature_1097,feature_1420,feature_1437,feature_1462,feature_1463,feature_1498,feature_1734,feature_1838,feature_1917,feature_2039,feature_2195,feature_2426,feature_2567,feature_2741,feature_2799,feature_2841,feature_2884,feature_2981,feature_2983,feature_3077,feature_3107,feature_3108,feature_3208,feature_3209,feature_3242,feature_3266,feature_3431,feature_3479,feature_3663,feature_3668,feature_3780,feature_3844,feature_3910,feature_3935,feature_4004,feature_4195,feature_4247,feature_4362,feature_4397,feature_4399,feature_4414,feature_4583,feature_4588,feature_4852,feature_5049,feature_5058,feature_5077,feature_5106,feature_5328,feature_5386,feature_5423,feature_5635,feature_5704,feature_5940,feature_5947,feature_5948,feature_5992,feature_6230,feature_6304,feature_6338,feature_6513,feature_6566,feature_6593,feature_6628,feature_6709,feature_6710,feature_6749,feature_6916,feature_6944,feature_7049,feature_7167,feature_7242,feature_7266,feature_7305,feature_7417,feature_7556,feature_7614,feature_7652,feature_7691,feature_7792,feature_7851,feature_7915,feature_8200,feature_8210,feature_8294,feature_8299,feature_8361,feature_8696,feature_8745,feature_8773,feature_8835,feature_8857,feature_9194,feature_9253,feature_9308,feature_9989,feature_10003,feature_10004,feature_10476,feature_10740,feature_10851,feature_11123,feature_11201,feature_11352,feature_11403,feature_11450,feature_11462,feature_11909,feature_12428,feature_12494,feature_12503,feature_12582,feature_13005,feature_13079,feature_13595,feature_13651,feature_13884,feature_13906,feature_14032,feature_14109,feature_14555,feature_14988,feature_15083,feature_15273,feature_15605
0,0.0,20.706608858848266,26.750829017737452,2.8941996980258793,0.8812740767917366,25.775517871505777,10.810073800217308,23.087389052732583,230.5111264763571,14.326371936162106,132.15303314659855,30.905319118912892,229.5033372373601,3.266650909450097,256.04258681755965,92.40065898090789,18.38496937925974,0.6742665838824841,32.16508388953956,11.35644940522387,16.748851722240254,128.7421225676267,52.75498116189482,1.1556930588285097,18.47312395049882,0.5769575401809023,340.1687950668153,66.11525815965118,2.243434885066392,0.20466154909901646,108.3237755231631,233.90133630603808,1.1541655495505665,38.100734474438035,3.81806059237727,34.016626215304726,4.575488238531333,24.723780109218676,1.5023865127633453,0.41713350360534523,1.3202213300972243,12.60584616252981,1.877506455755147,2.9165196777061255,122.31564762160103,0.6764767098931802,0.33973852427787266,1.2076671793641611,0.9512978537259937,5.1047896058814395,3.9922001777978466,1.331136142351165,6.88015578477994,2.8528934482904598,248.10721492373037,42.288099538572254,0.9669539418911482,0.6213223362072615,2.7803737988062145,1.172839615053551,0.2032028306546065,7.411674333610849,9.177459184105437,4.161771346324806,0.2571489550848773,5.906698463318611,0.10094261080615802,133.86672216969816,1.8251054792780843,0.5649632410007479,13.668384085681629,30.323500359828977,115.36095785062159,3.332967036843665,10.56554531728449,27.47636946674757,0.35002187195732853,2.5275163334132955,0.261957257962098,55.50811731835692,0.11453497396531531,1.1304115455712813,17.69768192529668,0.22732371907940227,0.060130243978156264,0.0738425501291151,8.08601323606192,1.7398436507824517,16.095933227030915,0.3944219453342176,0.35620775537274046,74.97173578675547,14.92419779304895,0.5162663863293211,4.235613896453921,4.560744069877376,0.049114891275205665,3.420640072248014,3.9938758519480153,9.779597697094557,52.87776750814907,10.515486756882611,0.42590521681459637,0.9294682292181128,6.039136692677833,13.38455134265596,0.2448459790875866,50.474455670481326,0.33437636699733303,0.29365219354565597,0.2817090465237699,1.311913514047441,0.4154278437072262,6.449138879873566,3.1559893885729604,3.1935915165027446,7.952534324862065,4.646550933438695,52.35572974727306,8.468148080206584,1.064688077666615,9.22591615279326,6.620791412081787,1.2826527156504437,0.36228957060408934,3.2334072981782778,0.7801021632071345,0.2335431159778176,2.0741300605359334,45.336062624352664,2.7166734869544356,0.760641412787334,2.5215950301268575,1.813065319542241,1.4941792371625722,33.69624437326259,1.0722233197397943,1.3003372514710656,1.692577292675011,23.45386428097704,0.7200565848702499,0.7134473732484795,0.1354403318893138
1,0.0,18.892727159684924,26.89331541467194,2.920961804874705,0.8151109793249893,23.15347875506752,8.039787718064849,19.559867299877727,198.7492136672836,13.708018282136019,123.78419172330015,26.93076286628438,201.04884748253966,2.8719501210784992,220.09457354701814,88.11073222601107,15.798582448958118,0.5755652588401652,27.836350332148854,10.446860169079468,14.894378737372046,115.36129856092744,47.30393652585213,1.1349240130787097,16.267766017991995,0.46420970572902964,318.2658561820179,59.26250998359582,1.9646600635442921,0.24609304631591367,100.55861586311673,216.62143958270562,0.9356968749153088,36.141844378657666,3.3512966319612167,30.09676077152272,3.9533381477779423,22.9648880322791,1.2031791276290136,0.4216576674812962,1.224781955079,11.17380782713912,1.7911870156660752,2.619442066448901,114.09190487805267,0.608250874012999,0.33596374181185723,0.9886621423640836,0.8047360106109084,4.856655491416101,3.523357230195814,1.2664077707049017,6.7153228467715325,2.388468289230151,224.10218100717543,36.69631216731311,0.9191093596310413,0.5203139272955096,2.583301848140939,0.9579883911305814,0.1823303506095374,6.344499018777928,8.21781695226526,3.6829672282987316,0.26216723340012976,5.114558274707108,0.07647155412503846,116.58179534146687,1.7684092724290148,0.5020317912762902,12.465639691429173,29.429102520568996,103.95437436929979,2.961342560487439,11.092215744509222,24.459827285785114,0.3540752998267119,2.247585205307367,0.32693586107617184,49.54991319652021,0.1172827402160761,0.8711753462175523,14.854533628576757,0.18733290927960286,0.052209622831307916,0.09329182070498136,7.458143824358858,1.4085566390712905,14.183122661527008,0.3447843782431741,0.3179542117622302,61.80087648398878,14.89037095136295,0.4214296987464908,3.526041841030865,3.887106056475667,0.059332450153759334,3.160395932272561,3.2927086671162273,8.344382643130091,46.22282907605707,10.235190401719171,0.37202265658502837,0.7539101420579997,5.110679617841503,10.931150253714854,0.17417608432611326,43.39641849958312,0.30327174989119676,0.23450011876692828,0.19151446166697753,0.9671469951967147,0.38380050982098873,5.828768378982877,3.255074695629855,2.7076898796229427,7.5675959182437165,4.0519736831617195,46.92848955568415,7.36555185172786,0.5047546625983016,7.970925218284049,6.333309420528983,1.1722152343693955,0.3475439158651892,2.4912949421230426,0.6870770422730555,0.18820014698403742,1.7657453860244006,42.38440948923844,2.8544363831724002,0.8447835811496958,2.3015436512301544,1.840012179588349,1.4805851941480586,32.361673194862256,0.9927671737775375,1.0694953920026018,1.3827292161860991,20.71670181848906,0.6936833530215423,0.5761248184619603,0.11132845193287197
2,0.25,13.301190646966003,27.5030017214173,2.162125233108593,0.9412924974895998,27.42641837612968,16.67587505379429,19.815134127097977,226.67539807775069,9.832706928704633,72.73010328503801,32.02571008463635,620.138860995553,2.577729163678095,223.86057954382443,90.06456749390331,15.216220771768755,0.6788516712092957,39.02767178310142,9.042269760436092,18.165578826567206,331.74910342848943,55.162379859417584,0.9204525892985225,12.917787978769187,0.4501111748673074,388.1934012336824,53.08610672787262,1.9399530196528476,0.2634378138000287,118.70063835891551,274.4055946062258,1.1166600918089227,31.75034428346005,4.418695309137857,35.78866733610673,4.773309066131115,24.245441830440395,1.098520657007603,0.4580530053077033,1.4024404676517,13.308252044183044,2.3456032133122937,3.034726007746378,149.4283603500215,0.7284697317458041,0.3275408836608808,1.1186128245588869,0.8772468082054224,5.204432649548128,2.9475433940611104,1.1507136709223929,6.515566274566059,2.710670994118491,228.7218619997131,44.033951369961265,0.858867092239277,0.48478518146607374,2.8290740209439105,1.1101079472098694,0.18678453593458613,7.520594247597188,10.196528475111174,1.6684783388323052,0.25473210443264954,6.1421083775641945,0.16069968440682827,111.13137283029694,2.642382728446421,0.49528403385454023,14.102469157940037,10.34518361784536,68.8104504375269,3.085914861569359,13.023864940467652,17.689131760149188,0.561289628460766,3.112724142877636,0.33185877205565917,57.68349591163391,0.26636601635346435,0.9315055228805049,17.50636745086788,0.23765779658585567,0.06883338115048056,0.08285217328934155,8.225878640080333,1.066749748959977,11.057344713814373,0.4329884521589442,0.3534356620284034,87.14971309711663,11.710712236407977,0.51627635920241,3.4443408406254483,3.0380684263376847,0.05230777506813943,4.820631903600631,4.132303471524889,6.865582412853249,59.707509682972315,8.364375627600058,0.4225900157796586,0.7930784679386028,6.491995409553866,12.029608377564195,0.24375448285755272,54.37082556304691,0.41636422321044325,0.35774279156505523,0.27274063979342994,1.2579167264381006,0.31999892411418734,6.012200545115478,3.4475505666331947,2.9114761153349593,9.867160378711805,4.363432434370965,63.50087505379429,11.599698751972458,1.165722278008894,9.394824989241142,8.378866016353465,1.611251972457323,0.3354109883804332,3.0567386314732463,0.8758929852245015,0.22284105580261082,2.1224017357624443,53.56826854109884,4.01990388753407,0.7025677808061971,2.3432936451011335,2.7797087935733753,0.956218619997131,37.25128747668914,1.237028403385454,0.605295151341271,0.9888789269832162,28.688938100702913,0.9162028403385454,1.23548809353034,0.14262659589728877
3,0.25,14.73809998081832,28.271228955483746,2.092557139273752,0.9182805099375858,28.736845794047778,16.07846967081286,20.780094949316098,237.62113230932673,10.215502486240833,116.55938943236983,33.453454915674385,677.9356380859634,2.714919658270993,234.4643294527319,92.16176796069232,15.874861670576779,0.7129406253227687,42.248188806751955,9.29716111135703,18.515928171985895,352.7680934885574,58.66021498236761,1.0018499254865507,13.609132692960323,0.48225510158912843,415.06012718929367,55.20597804435395,1.9146673454030365,0.2968733861567291,138.3818629837841,290.11243415519453,1.2171790388502797,33.773781594440266,4.724462544080976,39.88568087586502,4.6314461511221285,25.305044044088355,1.1021055582606643,0.3996871910642881,1.3042657105336934,14.071872279521344,2.4240221031974385,3.152320983282428,156.0266477800894,0.8155367919377924,0.37305416611334896,1.1831702890531628,1.088549274784944,5.370226712702698,3.0672539211780503,1.2270114942528736,6.556724285482419,3.590401044663804,242.35384297581632,42.194782583034545,0.9622618889528278,0.5162103640092662,3.040558186888584,1.2103529429123692,0.16279528720877046,8.23857952281882,10.472972275094802,1.6077327991973205,0.24960530004574094,6.4479918256532835,0.1551687250084842,114.35839493603648,2.7248627772121643,0.5596919127086007,14.951468505156921,12.383203856993198,46.524703790595076,3.7749195844953003,12.84480545349918,19.53629764065336,0.5561931004972481,3.2397414899738832,0.2665386658403789,62.74394670443982,0.20655718353916752,0.9073174420491936,17.577746669027487,0.2516913077479232,0.09896455815737831,0.09666644533958951,8.761055287503874,1.283199061573193,11.858527732282768,0.44432517374175556,0.4227623832499668,86.39137267053252,11.9633297921001,0.6185981142933027,3.764222109099494,3.4796489752556328,0.06004419163973854,5.204380800613814,4.144320009443288,7.971327077154619,62.074749531524354,4.951053516887256,0.4207243297478347,0.9428515042863678,7.2576726720080265,12.469506661945022,0.23662631136293213,61.594532483437355,0.4370859339264899,0.29818106030425096,0.25158433299396515,1.233511132751981,0.3463879421008366,6.7733241851474775,3.6758498959762735,3.28750387322385,9.731194576011095,4.934431853392944,62.067187523054905,12.275022870464639,0.7329393711359982,11.358730615436826,8.427083794431411,1.618148082569755,0.3929588479187877,3.8895282782228913,0.9137857258790374,0.2560643619140366,2.441846310477624,53.46685995898071,3.8642840806810974,0.6444860047511546,2.5252755522110575,2.7624717807976626,1.1877074941348325,41.03642674811503,1.273025393593319,0.70859339264899,1.1492943355023386,25.713602762161923,0.7184608915054668,1.2105816475587623,0.11068013810809614
4,0.5,19.128310385130703,27.184982468143332,1.8339445587522618,0.8787358952817422,23.65428620776969,9.621895452784722,39.39437203086143,309.89352101055937,21.384952954926945,205.11127321021627,27.75897763535415,284.4082683958728,4.319738808034973,429.40680782703913,182.08975706933762,18.584777552515916,1.3823370107471706,50.18997456161974,7.930534943815891,22.92038809879549,166.48358411182826,47.848935931167134,1.7876389929956418,17.637083021013076,0.5415054758754609,253.480134754663,102.2725914448564,2.8003196147183753,0.23460659385622032,65.41549410322583,171.9957675364681,1.0975059655265509,65.40086493846663,3.040298955466904,20.569987406576416,4.530136180017205,25.786448403016387,2.256775043892525,1.1224194800643255,1.2502167376828437,16.559565552039683,2.0358216663899804,2.711389250817063,103.79912231718994,1.2924290215530323,0.597459851125946,2.058018623510295,0.6621055332250064,4.927261659816582,3.784597119443005,2.2874972960192372,16.972946777274153,1.7289714141022867,224.94458390557114,39.64272574675984,0.9545429392145125,0.9337847513930742,2.8302201920706707,1.9174015625235812,0.6053110374398626,6.9837895305218645,8.957522767937244,1.7460085890167236,0.7172130803916538,7.9219811417254835,0.130943098183428,113.99136403043215,2.419595769548733,1.0895508122003612,15.194030951985686,11.368735777899632,54.08544746899016,3.1390827091120377,11.21867113389442,14.851072285580614,0.43375372897812164,2.7064306950865524,0.5998142008877442,48.78200968234724,0.18083384897617646,1.3521815465260765,28.62614636207686,0.4503247292246241,0.06095149938877458,0.15109760657876423,8.576523913251267,0.9651542820155514,13.110506872722578,0.4461040039037936,0.333452392331259,65.2992455684061,8.10657121824185,0.3852497639781133,3.2532200428277016,17.637341261656463,0.04907410668021592,4.328440176207317,6.689492456522505,7.169910605138318,48.84717687639496,7.362350191081307,0.6522253132844689,1.0426013217225658,5.385070337037577,12.533696211743912,0.22683757501974536,62.863942395567655,0.38189766627595195,0.2406584801028938,0.3125919143848423,0.9492791899963612,0.8958334381387892,5.746454641037121,3.892400849846481,3.441680375220301,8.901370519985981,3.774307739002554,72.53392762219059,9.760198409304712,0.6982692846231112,8.439009093759799,7.806064630590114,1.8752798305673077,0.32863301824621066,2.6723680834687418,0.7505797837821522,0.2386613073348727,1.8299317674559774,61.33050945512901,3.3651137013430192,0.6574806780661465,2.535973424690153,2.4741029910638677,0.6931732241344327,45.86308215238546,1.4251915424512402,0.5763729933947409,1.3152866722674703,28.82331477019098,0.9686690377853014,1.192761548303577,0.12965860251566633
5,0.5,19.496704987005938,30.02243591354717,1.86397703795674,0.8253031529244602,23.567090754024306,7.106524511109883,38.704326830437104,322.502902929068,20.489830113721094,205.15182193357697,27.963940007808166,278.1238013374418,4.189135253874342,424.28990082287356,194.41382950381276,19.039970778018503,1.3736107410888874,51.64754671076773,7.494218437662845,25.305078157071502,161.32472089153853,48.53588489488297,1.6276023732806533,16.671400158509144,0.5358279254236266,242.0408739115063,103.18667718926092,2.6337115100090314,0.1994115389964327,64.02009346342477,167.4328388719377,1.0798410216969863,65.24791265576539,3.0915901349003287,20.99716828275618,4.406775344288225,25.06090202761008,2.108602220803571,1.1338832561732273,1.3303357344284874,15.788762271472878,2.2427234082481724,2.8188186879933514,86.64792706568747,1.3630512842424152,0.43980590170087347,2.3490518773950213,0.6302799378697779,4.522731652064054,4.080016956792016,2.2361786227130533,16.91850016169273,1.6008250518170744,219.79202125966177,41.72700570197265,1.0885003795171335,0.9059903386499244,2.36265082245468,1.843256910479197,0.5940255792872451,7.2143408884889855,9.477705672315022,1.9330575341272196,0.665056441654058,7.84547536824891,0.13745892753317215,118.61853752695578,2.5610402623276047,1.1532981128028807,14.565641383955725,12.517714988497197,56.08378531897033,2.8219654128358895,8.749775054414211,15.38828037686973,0.4861254232914608,2.930790484759832,0.627528648097974,47.59841222765666,0.13980472880023995,1.2329280123858306,30.616992649264173,0.40793819148775745,0.06384935934491824,0.15976749758298692,9.147421880628876,0.7518209282335614,12.822685908939347,0.47942313395698133,0.3497606444921424,65.58273222175865,8.997451454480565,0.5190688509427608,3.1625606766631313,15.617552290423601,0.026879531375929733,4.631392517899301,7.292030475309604,6.294582371973707,49.669577135810165,7.767606495188594,0.5299516932496218,0.9943097563550269,5.291383704388827,11.491142086858318,0.2770123204833691,68.68502758829847,0.4089502371772638,0.2586581011408972,0.3368235505042635,1.001313648709558,1.0685057748600477,5.564818677939917,4.032598259750574,3.022169497546124,10.846041711697673,3.916301810791021,71.38019238921535,7.611176737694178,0.8574624127236261,9.268475279443576,7.814926333462353,1.8266821489550293,0.4254713803867556,3.0798527507033215,0.7688447431431391,0.23755091645428789,1.9874332074978511,64.00782157165334,3.4434217867968253,0.6778812722955844,2.927871637754666,2.8547245275304913,0.7772309826729065,42.65620439301554,1.3341392836258046,0.6059422497239495,1.3594085899891255,29.16858771034716,0.8864179782209108,1.0275631648880466,0.12109361255070701
6,0.75,14.223928627236504,25.473033375003254,1.4940034377685756,0.7951565226449983,22.67055206135896,7.378340104695679,30.61382074120374,263.99317655025135,8.617782639268693,169.1684636820585,28.200409537203427,224.42797614396957,3.321778068599109,337.3797171654035,159.92386123915932,13.340609292392635,1.1282098861890253,25.22871741281871,6.248860588066776,20.124264265437404,117.52372581191239,48.283531265463445,1.2534328853816705,15.34397218532698,0.38181042789801284,345.9900252623903,87.03140219287965,2.1775382842409563,0.20677722217881606,138.20195588196995,239.74701148527228,1.0546559627054197,54.32724561814725,3.568216592442118,32.618687657889936,4.462169896085632,26.317095085553557,1.7784169336146054,0.8505807745396776,1.250735734562596,14.155988749121025,1.7379596713284893,2.838136768497539,127.77786024949866,0.7608797562309555,0.2938592207724562,1.8502894106310388,0.8569614813657317,4.891775399119723,3.1768774253196863,1.897089941922546,12.744955660598484,3.0867808682970024,243.59934369872647,36.95513646899497,0.9373160663593509,0.5995715811131078,2.5626171966559887,1.3504570669583562,0.33187814152147305,6.905392999453082,8.067130895642888,3.0948772039482253,0.5682344974867828,5.070178008698596,0.11779891658202464,130.53704716514312,2.0848145688465243,0.48951903794567286,12.61896437221658,10.930902804906633,87.55256270021096,2.9221049170508113,11.260378414980337,23.16480454202151,0.4194061385004037,2.4234038466546868,0.514128707971977,53.942599682266845,0.11538173555225668,0.8501054769903899,23.26810688335026,0.264257298747298,0.0800843815923119,0.15351296976326276,7.589723806547386,1.3898839753105712,10.613521238638436,0.33314126103601843,0.2704866265593666,78.08558611349845,12.093796390342996,0.5384779409849728,3.116659504648801,8.874075448602756,0.04522163189832539,3.707622014740735,5.327242362684585,7.054056957574811,56.027306820845375,9.09115946558325,0.43127067218793136,0.7583323566945335,4.969919524962887,8.351137458655623,0.271197945151965,45.998508998098806,0.37059535901242285,0.20675443394015158,0.2895034117248743,1.2167161496991952,0.6781844935802276,5.740518464984244,2.9987905956194494,2.6043180456806523,8.340540927676642,4.154567739667161,52.08960986535406,10.52242525457718,0.7000563195041279,8.921605203531525,6.451106206214027,1.2263523191916035,0.2834596452847879,2.7636371331093574,0.8044345912441077,0.20667630283615906,1.85444500872464,46.11048063650806,2.728362567388077,0.7132702424668594,1.9800505247805817,1.6415703049717425,0.6858283199208272,34.89577961819934,1.088753678672813,0.5275167981873584,0.6956158684272209,23.378102455921034,0.6816304008125634,0.4968633617209678,0.10170390915956976
7,0.75,14.931662333124713,24.04012639356024,1.7389833900679628,0.8419571666268083,24.00985435567609,6.758510618449864,32.181778092122116,268.38838712522494,8.839971030568856,167.2660760837671,28.91732009016481,225.27384084113118,3.2126352853777305,348.96210398126146,157.22034576746094,13.39276306974204,1.1279030914860741,25.31401133335708,6.598615641118275,21.226546718296028,141.29371237832584,50.79763970372481,1.3408725090614277,16.25372167296769,0.39772756183565783,377.4424605698565,92.23678948145057,2.2407549691563755,0.2324915576496768,160.84400775458076,258.6892044770322,1.1165425967668894,58.63269034086572,4.056107071560262,36.723343628675664,4.690607153821234,30.15579380142371,1.9199202153371766,0.9014564432390809,1.3105139699484554,14.314018117767183,1.932707132280732,3.0089961277979334,137.0267933316033,0.7963879800606187,0.33382859527092695,1.9053235569983735,1.0604406135142057,4.995680026866264,3.278971551272331,2.0179447647251383,14.255651837642281,4.016479332142669,250.83215199792397,38.14835469574465,1.0389950931753922,0.6981039269861785,2.875960630068166,1.2966856460539327,0.3157583189588644,7.8838339379938835,8.419184954892152,3.058359495714797,0.5953896541138118,5.571951213306942,0.11960575792885528,141.37939947793964,2.235429207224718,0.591412293690329,12.921848683909245,12.76703862195062,89.39505789645972,3.1381933455113495,12.828574917696624,23.689886310247683,0.4093068537806973,2.7144051683636174,0.4952432804658176,60.18051279963771,0.109327376621262,0.9673161043238742,23.716961194870308,0.27623743400041045,0.06974203976681982,0.12030115996451754,8.047093982737069,1.4608344485207443,11.287521604105924,0.3956430518311971,0.30158907845661453,85.65996875779148,14.587602847416921,0.5804113727066573,3.418786370798542,9.902243434811147,0.044029125472576564,3.921896174779973,5.1459784561057145,7.999670956109955,53.85971196786903,9.642783846997983,0.4960896356262943,0.721737419583539,5.344054397400214,8.529350206161261,0.2548716304803193,50.406498107997635,0.36104595250573707,0.2374645302559249,0.27988405443132225,1.0421244023358724,0.7290832396236687,6.496035360345462,3.070685072771279,2.757830481336936,9.122395846584133,4.397873426652894,55.8900959485199,10.195458855096874,0.9603960060177718,10.332904219394253,6.904429710967168,1.3371834860673657,0.30850408845513894,3.396826931394349,0.8855860119032475,0.2136478585857558,2.1271703751948396,45.934676307313424,3.1993802441369974,0.8132642001943734,2.031218463093657,2.2916499176542224,0.8040509712731115,36.11516536151577,1.1659687204772153,0.734386952222488,0.8537976583608526,23.579195267195512,0.6812260107498979,0.9441829619716853,0.11586924406406518
8,1.0,13.384905980658592,24.593875387552067,2.62221848700338,0.7825414761843741,21.12437446641382,6.045196517814498,34.41064958968991,266.4711601349339,26.862093871227035,177.93749573547106,22.569052084668165,216.22224478146472,4.6089847175924925,361.8619008232829,157.08320532812326,10.775936240923834,1.1162631243478391,33.06629366253555,9.386861423196041,22.8330867534162,123.64916531727263,39.616240657561235,1.7929793788183135,14.51755321716063,0.30848395788226407,157.29427995613153,97.97551952363756,1.5798095149337563,0.2908650045682466,39.5249123379271,106.41614147085892,1.147215699457635,56.51488549427763,2.568745870687833,12.405147723282415,4.285061916799664,26.797767300673836,2.072824008507423,0.8663026492501918,1.2215907483436985,13.369413883142753,2.1865209265635634,2.998220963342525,58.48113205977164,0.9505730694789536,0.3971661893167933,1.7819307124301242,0.5194187925516778,4.3657992268097,3.2385423548853614,2.1935006082674446,13.1999394228865,0.9549133198088825,230.9320188321598,36.329852368248936,1.0069164418601169,0.8385104021221961,2.571841294619454,1.3877634230728906,0.3462647719121898,6.774990971680199,7.683361430684971,2.151855506942237,0.5805467583755348,6.470421227285662,0.14525859271377148,104.43891779985255,2.5131929963537236,0.44683276556157814,11.539906837724896,10.06648837468609,62.109574678766556,3.4075192174235753,13.600833434572557,17.030338482942717,0.48129015938104835,2.9228357411626478,0.5319852151902105,31.16233834314938,0.21587087089585896,0.9796750470554364,21.431953096006403,0.29786632095552074,0.0444992153266754,0.142988615163916,8.244691597588233,1.0497847349002392,9.65905403178967,0.4689284341315422,0.20363895374671112,53.28752327808723,9.43520828375385,0.5576489423136131,3.5218718328071668,11.947108191723236,0.021569779342871454,4.447065754459657,6.965094934654935,7.928009758906416,53.013887802531926,7.13812413981331,0.49888414959884303,0.8610420927728508,4.542624486800347,9.001622601254478,0.28823223001995385,47.52147408747402,0.409877397913418,0.28248073265023205,0.2966015240802347,1.3042369031115668,0.5999580619983458,5.751871816165103,3.667143739172257,3.0820320626007884,8.205394691514378,4.11980122718581,49.949454722768174,9.124336189666277,1.0128942713022582,9.686621611051661,6.418657750958167,1.170735928718711,0.33348699505897117,2.6831900174242413,0.8066741334061146,0.20730852889145546,1.8266729018933676,43.60627206113629,2.456421922923944,1.070728772631127,2.5423515569483115,1.8093984393072242,0.9256948477833603,32.68919780258185,1.0131355812324114,0.5559214960549987,1.1294453033598664,21.84283900300722,0.6213447786355837,0.5796281164345376,0.13758160852206822
9,1.0,13.1573144241752,24.769333359742774,2.7983540317309408,0.7920454770534989,20.381854074646277,7.302498663022164,33.28471685780498,265.7733674015093,28.81860677005962,175.134153346406,23.994947544252316,216.51951327404413,4.429272221892104,358.4638949960716,148.93136847109156,10.118228454849763,1.05507193270875,32.1893952898766,9.56906233287777,23.05806280164531,114.31820732729878,41.20070183083434,1.7824456460739069,15.265764784333921,0.2821799010966519,155.38249450353555,96.9802919563452,1.6621869656215131,0.3149903275430639,41.27409366107447,104.75056285116301,1.1634331610117457,55.73242616911284,2.403603898033157,13.35455001617578,4.602247443236212,29.457662368530514,2.1054925030205798,0.8402592086411683,1.226211698060887,13.142228032298744,2.2527069674701736,2.973342972778471,55.851427100045555,0.7876928714322499,0.4452499323258132,1.757596014815695,0.519384528030318,4.2942572675474215,3.136180270828794,1.9141165052389724,12.631961362991133,0.972081922078951,227.90989099504162,36.72186569479932,1.022263156852259,0.8971418384930774,2.2386059777764573,1.2800704471778213,0.3740352301912704,6.943043093601653,7.815741345957045,2.006772370445197,0.5513217924086068,6.816886855362107,0.1479852899426255,97.68951083117106,2.410001584566324,0.4900684004463195,12.029786545711437,9.82816203511135,59.866658743835046,3.5961666699678467,12.654559589597323,15.967998362614798,0.46352856510917,2.7808379714910108,0.43930120625111413,30.176490977875492,0.21690567208720396,1.692830167501865,21.300808458943226,0.3069717617076343,0.056506295349958074,0.14389512811878966,8.098880239797703,1.0405153801968823,9.094687741398776,0.48265064934207486,0.2528901829513868,47.7794349700583,8.776115633727494,0.5475633991588594,3.3614659879440913,10.500935884485115,0.04290873558209704,4.193236212622391,6.894510798159262,7.11877314952364,51.18178607034154,6.8677860967509785,0.5451898508526948,0.8838991555581965,4.11262635265844,8.138765094644826,0.2753250011554129,46.343880602927484,0.3745320577574425,0.37788605647658474,0.2883679627098725,1.0468140313347991,0.6770505278586567,6.032054456262668,3.523027379985607,3.198107103478783,7.914063686361506,4.029542258403153,48.13845478373971,7.523233703725712,0.8416291982754637,9.574139547474267,6.251368339044374,1.227575085335499,0.36051854932953037,3.0498329603000114,0.7565941067337466,0.1864935527957692,1.800739134166551,43.318322868593235,2.4959791629528394,1.0482467433860863,2.5068268399125846,1.68525395976522,0.8922445381979519,33.22689339169819,1.0330926773228752,0.5932995952753514,1.1951261380817504,21.995929645255213,0.6548055274955269,0.5031839879572959,0.11048223635127194
