,time,PQN
0,0.0,0.9689207968842835
1,0.25,0.9541553990301342
2,0.5,0.9908823848363312
3,0.75,1.0153274210062415
4,1.0,0.9820526920355133
5,1.5,1.010300200224852
6,2.0,0.9997215995733341
7,3.0,0.9751976296196826
8,4.0,0.9739425162101766
9,5.0,1.024412761838217
10,6.0,1.017207410396787
11,7.0,1.0923495871840836
12,8.0,1.044542645959998
13,9.0,1.0366069548930876
14,10.0,0.9049582317638103
15,11.0,1.031426438468289
16,12.0,0.9537466452392083
17,13.0,1.0337288323414082
18,14.0,1.0101571694089369
19,24.0,0.9887876467149926
