,time,PQN
0,0.0,1.0311097273433854
1,0.25,1.1512727923049044
2,0.5,1.1537012714091497
3,0.75,1.1172071470348885
4,1.0,1.0917975468772116
5,1.5,0.9693775119556377
6,2.0,1.0046933454320435
7,3.0,0.9818107273071733
8,4.0,1.2397716187908632
9,5.0,1.035882223452353
10,6.0,0.8583836614957727
11,7.0,0.9594584889795289
12,8.0,1.083890544203244
13,9.0,0.926095374647635
14,10.0,0.8120147251638921
15,11.0,0.8641431451720893
16,12.0,0.9108398129234502
17,13.0,0.9928079312608489
18,14.0,1.0284376400014876
19,24.0,1.0568741315661319
