,time,PQN
0,0.0,1.0681007162778244
1,0.25,0.9653478648751436
2,0.5,1.0548585766602259
3,0.75,1.0775321976694
4,1.0,1.0546597110089602
5,1.5,1.1297402639371263
6,2.0,0.9481129886218671
7,3.0,0.987971634794307
8,4.0,1.0582747671473125
9,5.0,1.05850716774864
10,6.0,1.0225703992927342
11,7.0,0.9253160116887333
12,8.0,0.9957877108131536
13,9.0,0.9750166576421098
14,10.0,0.9895034994467915
15,11.0,0.9106682482974054
16,12.0,0.9193494721259295
17,13.0,1.1211095306819185
18,14.0,0.9128636372051119
19,24.0,0.9537814253283957
